lang_id,verb_id,tense_id,sing_1,sing_2,sing_3,plural_1,plural_2,plural_3
1,1,1,am,are,is,are,are,are
1,1,2,will be,will be,will be,will be,will be,will be
1,1,3,was,was,was,was,was,was
1,1,4,would be,would be,would be,would be,would be,would be
1,1,5,am being,are being,is being,are being,are being,are being
1,1,6,will be being,will be being,will be being,will be being,will be being,will be being
1,1,7,was being,were being,was being,were being,were being,were being
1,1,8,would be being,would be being,would be being,would be being,would be being,would be being
1,1,9,have been,have been,has been,have been,have been,have been
1,1,10,will have been,will have been,will have been,will have been,will have been,will have been
1,1,11,had been,had been,had been,had been,had been,had been
1,1,12,would have been,would have been,would have been,would have been,would have been,would have been
1,1,13,have been being,have been being,has been being,have been being,have been being,have been being
1,1,14,will have been being,will have been being,will have been being,will have been being,will have been being,will have been being
1,1,15,had been being,had been being,had been being,had been being,had been being,had been being
1,1,16,would have been being,would have been being,would have been being,would have been being,would have been being,would have been being
1,2,1,have,have,has,have,have,have
1,2,2,will have,will have,will have,will have,will have,will have
1,2,3,had,had,had,had,had,had
1,2,4,would have,would have,would have,would have,would have,would have
1,2,5,am having,are having,is having,are having,are having,are having
1,2,6,will be having,will be having,will be having,will be having,will be having,will be having
1,2,7,was having,were having,was having,were having,were having,were having
1,2,8,would be having,would be having,would be having,would be having,would be having,would be having
1,2,9,have had,have had,has had,have had,have had,have had
1,2,10,will have had,will have had,will have had,will have had,will have had,will have had
1,2,11,had had,had had,had had,had had,had had,had had
1,2,12,would have had,would have had,would have had,would have had,would have had,would have had
1,2,13,have been having,have been having,has been having,have been having,have been having,have been having
1,2,14,will have been having,will have been having,will have been having,will have been having,will have been having,will have been having
1,2,15,had been having,had been having,had been having,had been having,had been having,had been having
1,2,16,would have been having,would have been having,would have been having,would have been having,would have been having,would have been having
1,3,1,do,do,does,do,do,do
1,3,2,will do,will do,will do,will do,will do,will do
1,3,3,did,did,did,did,did,did
1,3,4,would do,would do,would do,would do,would do,would do
1,3,5,am doing,are doing,is doing,are doing,are doing,are doing
1,3,6,will be doing,will be doing,will be doing,will be doing,will be doing,will be doing
1,3,7,was doing,were doing,was doing,were doing,were doing,were doing
